entry_time,exit_time,side,entry_price,exit_price,pnl,symbol,amount,pnl_usd
2025-07-07 01:43:00+05:30,2025-07-07 09:41:00+05:30,BUY_EOD,0.5295,0.5324,0.0029000000000000137,XTZ/USD,1000,5.476864966949979
2025-07-07 00:07:00+05:30,2025-07-07 09:41:00+05:30,BUY_EOD,274.36,287.63,13.269999999999982,AAVE/USD,1000,48.36710890800401
2025-07-06 23:23:00+05:30,2025-07-07 09:41:00+05:30,BUY_EOD,7.393,7.47,0.07699999999999996,UNI/USD,1000,10.415257676180165
2025-07-06 22:17:00+05:30,2025-07-07 09:41:00+05:30,BUY_EOD,0.17739,0.17792,0.0005300000000000027,ALGO/USD,1000,2.987767066914723
2025-07-06 22:56:00+05:30,2025-07-07 09:42:00+05:30,BUY_EOD,18.23,18.44,0.21000000000000085,AVAX/USD,1000,11.519473395501967
2025-07-06 22:47:00+05:30,2025-07-07 09:42:00+05:30,BUY_EOD,41.23,41.42,0.19000000000000483,COMP/USD,1000,4.608294930875694
2025-07-06 23:01:00+05:30,2025-07-07 09:42:00+05:30,BUY_EOD,0.5011,0.5121,0.01100000000000001,CRV/USD,1000,21.95170624625825
2025-07-07 01:44:00+05:30,2025-07-07 09:42:00+05:30,BUY_EOD,20.037,20.122,0.08500000000000085,DASH/USD,1000,4.242152018765327
2025-07-07 01:40:00+05:30,2025-07-07 09:42:00+05:30,BUY_EOD,13.36,13.48,0.120000000000001,EGLD/USD,1000,8.982035928143787
2025-07-06 23:22:00+05:30,2025-07-07 09:42:00+05:30,BUY_EOD,16.665,16.704,0.03900000000000148,ETC/USD,1000,2.340234023402429
2025-07-06 22:23:00+05:30,2025-07-07 09:42:00+05:30,BUY_EOD,12.85,12.82,-0.02999999999999936,KSM/USD,1000,-2.334630350194503
2025-07-06 22:45:00+05:30,2025-07-07 09:42:00+05:30,BUY_EOD,1853.1,1897.0,43.90000000000009,MKR/USD,1000,23.690032917813443
2025-07-07 01:31:00+05:30,2025-07-07 09:42:00+05:30,BUY_EOD,2.176,2.196,0.020000000000000018,NEAR/USD,1000,9.191176470588243
2025-07-07 08:31:00+05:30,2025-07-07 09:42:00+05:30,BUY_EOD,1.99144,1.99144,0.0,QTUM/USD,1000,0.0
2025-07-07 00:17:00+05:30,2025-07-07 09:42:00+05:30,BUY_EOD,0.562,0.572,0.009999999999999898,SNX/USD,1000,17.793594306049638
2025-07-07 01:32:00+05:30,2025-07-07 09:42:00+05:30,BUY_EOD,0.6066,0.6108,0.0041999999999999815,SUSHI/USD,1000,6.923837784371878
2025-07-07 07:43:00+05:30,2025-07-07 09:42:00+05:30,BUY_EOD,39.46,39.55,0.0899999999999963,ZEC/USD,1000,2.280790674100261
2025-07-07 01:35:00+05:30,2025-07-07 09:43:00+05:30,BUY_EOD,0.2191,0.2206,0.0015000000000000013,ZRX/USD,1000,6.84618895481516
2025-07-07 00:36:00+05:30,2025-07-07 09:43:00+05:30,BUY_EOD,92250.0,92918.9,668.8999999999942,BTC/EUR,1000,7.250948509485032
2025-07-06 23:37:00+05:30,2025-07-07 09:43:00+05:30,BUY_EOD,2161.94,2187.65,25.710000000000036,ETH/EUR,1000,11.892096912957824
2025-07-07 01:00:00+05:30,2025-07-07 09:43:00+05:30,BUY_EOD,0.8494,0.8498,0.00039999999999995595,USDT/EUR,1000,0.47092064987044496
2025-07-06 22:56:00+05:30,2025-07-07 09:43:00+05:30,BUY_EOD,1.927,1.92929,0.0022899999999999032,XRP/EUR,1000,1.1883757135443191
2025-07-07 00:08:00+05:30,2025-07-07 09:43:00+05:30,BUY_EOD,0.492569,0.498777,0.006208000000000047,ADA/EUR,1000,12.603310399152296
2025-07-07 00:25:00+05:30,2025-07-07 09:43:00+05:30,BUY_EOD,0.1428,0.1486157,0.005815699999999979,DOGE/EUR,1000,40.72619047619033
2025-07-06 23:37:00+05:30,2025-07-07 09:43:00+05:30,BUY_EOD,129.4,129.19,-0.21000000000000796,SOL/EUR,1000,-1.6228748068006797
2025-07-06 22:07:00+05:30,2025-07-07 09:43:00+05:30,BUY_EOD,74.6,74.53,-0.06999999999999318,LTC/EUR,1000,-0.9383378016084878
2025-07-07 01:26:00+05:30,2025-07-07 09:43:00+05:30,BUY_EOD,2.8759,2.9098,0.03390000000000004,DOT/EUR,1000,11.787614312041462
2025-07-07 03:37:00+05:30,2025-07-07 09:43:00+05:30,BUY_EOD,421.94,423.69,1.75,BCH/EUR,1000,4.147509124520074
2025-07-06 22:29:00+05:30,2025-07-07 09:43:00+05:30,BUY_EOD,11.45,11.52065,0.07065000000000055,LINK/EUR,1000,6.170305676855943
2025-07-06 23:03:00+05:30,2025-07-07 09:43:00+05:30,BUY_EOD,0.242242,0.245062,0.002819999999999989,TRX/EUR,1000,11.641251310672754
