symbol,entry_time,exit_time,side,entry_price,exit_price,position_size,pnl_abs,pnl_pct,duration_hours,duration_days,trade_type,cumulative_pnl,portfolio_value
BTC/USDT,2025-06-19 22:00:00,2025-06-22 13:00:00,BUY_SL,104617.3,100919.2,1000,-35.348838098478986,-3.5348838098478987,63.0,2.625,Stop Loss,-35.348838098478986,9964.651161901522
BTC/USDT,2025-06-23 17:00:00,2025-07-02 16:00:00,BUY_TP,102451.3,109425.0,1000,68.06843837023051,6.806843837023051,215.0,8.958333333333334,Take Profit,32.719600271751524,10032.719600271752
ETH/USDT,2025-06-19 17:00:00,2025-06-20 17:00:00,BUY_SL,2508.7,2420.48,1000,-35.165623629768334,-3.516562362976833,24.0,1.0,Stop Loss,-2.4460233580168094,9997.553976641982
BNB/USDT,2025-06-23 13:00:00,2025-07-10 00:00:00,BUY_TP,631.1,670.9,1000,63.06449057201704,6.306449057201704,395.0,16.458333333333332,Take Profit,60.61846721400023,10060.618467214
XRP/USDT,2025-06-19 14:00:00,2025-06-21 18:00:00,BUY_SL,2.15108,2.08107,1000,-32.54644178738118,-3.2546441787381184,52.0,2.1666666666666665,Stop Loss,28.072025426619057,10028.07202542662
XRP/USDT,2025-06-22 22:00:00,2025-06-23 22:00:00,BUY_TP,2.01403,2.16265,1000,73.7923466879839,7.3792346687983885,24.0,1.0,Take Profit,101.86437211460296,10101.864372114604
XRP/USDT,2025-06-27 19:00:00,2025-06-30 18:00:00,BUY_TP,2.09527,2.23538,1000,66.86966357557735,6.6869663575577345,71.0,2.9583333333333335,Take Profit,168.7340356901803,10168.73403569018
ADA/USDT,2025-06-18 15:00:00,2025-06-20 16:00:00,BUY_SL,0.597544,0.577939,1000,-32.809299398872696,-3.2809299398872693,49.0,2.0416666666666665,Stop Loss,135.9247362913076,10135.924736291308
ADA/USDT,2025-06-20 20:00:00,2025-06-21 21:00:00,BUY_SL,0.582316,0.552017,1000,-52.0318864671415,-5.20318864671415,25.0,1.0416666666666667,Stop Loss,83.89284982416609,10083.892849824166
ADA/USDT,2025-06-28 02:00:00,2025-07-01 18:00:00,BUY_SL,0.5618,0.54,1000,-38.803844784620736,-3.8803844784620742,88.0,3.6666666666666665,Stop Loss,45.089005039545356,10045.089005039545
